,0,1,2,3,4,5,6,7
1539,"Now they're swerving when I give  And now it's turning away from my impression at all  It's choleric months in baritone  But waiting for the tide out  Right in they're calling me  Words at hiding are revoked  But waiting for this I'll blend in the covering  When it's tried, embarrass  A late song in the late leaf  Things will come anywhere  Inside of me  Outside of you  Waiting closer to there  I'd swear that goes with our dreams  What's wrong with me  Another side of you  In every type a value  But now it's turning away from my impression at all  there was a time when running  I went swimming  And you pulled me to come back  Long weeks hiding melody  And now it's starting awake at my impression at all  The clock strikes hope  And time to bring  But now it's turning into a beast like you  I don't need them  Light the way there  Inside of me  Outside of you  Going closer to there  And swear that you've seen better things  Wipe the slate  What am I to sing?  Many clothes to borrow  To quell that song",,,,,,,
1540,,,,,,,,
1541,,,,,,,,
1542,,,,,,,,
1543,,,,,,,,
1544,,,,,,,,
1545,,,,,,,,
1546,,,,,,,,
1547,,,,,,,,
1548,"Yeah, this is a story of a famous dog For the dog that chases its tail will be dizzy These are clapping dogs, rhythmic dogs Harmonic dogs, house dogs, street dogs Dog of the world unite Dancin' dogs Yeah Countin' dogs, funky dogs Nasty dogs (Dog) Atomic dog Atomic dog Like the boys When they're out there walkin' the streets May compete Nothin' but the dog in ya Bow-wow-wow-yippie-yo-yippie-yeah Bow-wow-yippie-yo-yippie-yeah Bow-wow-wow-yippie-yo-yippie-yeah Bow-wow-yippie-yo-yippie-yeah Like the boys When they're out there walkin' the streets May compete Nothin' but the dog in ya Why must I feel like that Oh, why must I chase the cat Like the boys When they're out there walkin' the streets May compete Nothin' but the dog in ya Ruff Ruff Ruff Why must I feel like that Why must I chase the cat Nothin' but the dog in me Why must I feel like that Why must I chase the cat Nothin' but the dog in me Why must I feel like that Why must I chase the cat Nothin' but the dog in me Why must I feel like that Why must I chase the cat Nothin' but the dog in me Do the dogcatcher, dogcatcher Do the dogcatcher Do the dogcatcher, dogcatcher Do the dogcatcher Do the dogcatcher, baby, do the dogcatcher Ooh Why must I feel like that Why must I chase the cat Nothin' but the dog in me Why must I feel like that Why must I chase the cat Nothin' but the dog in me Bow-wow-yippie-yo-yippie-yeah Bow-wow-wow-yippie-yo-yippie-yeah Bow-wow-yippie-yo-yippie-yeah Just walkin' the dog Oh, atomic dog Futuristic bow-wow Ruff Leader of the pack Wild dog Why must I feel like that Why must I chase the cat Just the dog in me Nothin' but the dog in me Why must I feel like that Why must I chase the cat Just the dog in me Nothin' but the dog in me Why must I feel like that Why must I chase the cat The dog in me (Dog in me) The dog is in me (Dog in me) Do the dogcatcher, dogcatcher Do the dogcatcher Do you want to do the dogcatcher Well, baby, why don't you do it again for me Dogcatcher, dogcatcher Do the dogcatcher House-trained dogs Wild dogs Say it again Why must I feel like that",,,,,,,
1549,Hold my head under water Take a breath for the Father Learn to love. Lessons repeating The Chronicles are so misleading This is your baptism And you can't forgive em This is your baptism And you can't forgive em Hold my head under water Take a breath for the Father Learn to love. Lessons repeating The Chronicles are so misleading This is your baptism And you can't forgive em This is your baptism And you can't forgive em,,,,,,,
1550,,,,,,,,
1551,,,,,,,,
1552,"They say freak,  When you're singled out, The red, Well it filters through. So lay down,  The threat is real, When his sight, Goes red again. Seeing red again, Seeing red again. This change, He won't contain, Slip away, To clear your mind, When asked, Who made it show (who made it show), The truth, He gives into most. So lay down, The threat is real, When his sight, Goes red again. So lay down, The threat is real, When his sight, Goes red again. So lay down, The threat is real, When his sight, Goes red again. Seeing red again! Seeing red again! Seeing red again! Seeing red again! Seeing red again! Seeing red again! Seeing red again! Seeing red! They say freak, When you're singled out, The red, it filters through.",,,,,,,
1553,"I am he as you are he as you are me And we are all together See how they run like pigs from a gun See how they fly I'm crying  Sitting on a cornflake Waiting for the van to come Corporation T-shirt, stupid bloody Tuesday Man you've been a naughty boy You let your face grow long I am the eggman They are the eggmen I am the walrus Goo goo g' joob Mr. City policeman sitting Pretty little policemen in a row See how they fly like Lucy in the sky See how they run I'm crying I'm crying, I'm crying, I'm crying Yellow matter custard Dripping from a dead dog's eye Crabalocker fishwife Pornographic priestess Boy, you've been a naughty girl You let your knickers down I am the eggman They are the eggmen I am the walrus Goo goo g' joob Sitting in an English garden Waiting for the sun If the sun don't come you get a tan From standing in the English rain I am the eggman  (""How do you do sir"") They are the eggmen  (""The man maintains a fortune"") I am the walrus Goo goo g' joob Goo Goo Goo g' joob Expert, texpert choking smokers Don't you think the joker laughs at you (Ho ho ho hee hee hee hah hah hah) See how they smile like pigs in a sty See how they snide I'm crying Semolina Pilchard Climbing up the Eiffel tower Elementary penguin singing Hare Krishna Man, you should have seen them kicking Edgar Allen Poe I am the eggman They are the eggmen I am the walrus Goo goo g' joob Goo goo goo g' joob Goo goo g' joob Goo goo goo g' joob  Goo goo Juba juba juba Juba juba juba Juba juba juba Juba juba (Oh I'm tired, servicible villain Set you down father, rest you)",,,,,,,
1554,,,,,,,,
1555,"I'm in love with your brother What's his name I thought I'd come by To see him again When you to dance Oh what a dance When you to love Oh what a love does he mention my achelove Or is he more in to young girls with dyed black hair I'm in love with your brother I'd thought I'd come by I'm in love with your brother Yes I am But maybe I Shouldn't ask for his name And you dance Oh what a dance And you laughed Oh what a laugh Does he know what I do and You'll pass this on, won't you and? If I asked him once what would he say Is he willing, Can he play? He wasn't really looking for some more of it Found company on the dancefloor and Does he know what I do and You'll pass this on, won't you and? Does he know what I do and, You'll pass this on, won't you? And if I ask him once, What would he say? Is he willing, can he play?",,,,,,,
1556,,,,,,,,
1557,,,,,,,,
1558,"Come in here, dear boy, have a cigar, You're gonna go far, You're gonna fly high, You're never gonna die, You're gonna make it if you try, They're gonna love you. I've always had a deep respect and I mean that most sincere; The band is just fantastic, that is really what I think, Oh, by the way, which one's Pink? And did we tell you the name of the game, boy? We call it ""Riding The Gravy Train"". We're just knocked out. We heard about the sell out. You're gonna get an album out, You owe it to the people. We're so happy we can hardly count. Everybody else is just green, Have you seen the chart? It's a hell of a start, It could be made into a monster, If we all pull together as a team. And did we tell you the name of the game, boy? We call it ""Riding The Gravy Train"".",,,,,,,
1559,,,,,,,,
1560,,,,,,,,
1561,,,,,,,,
1562,,,,,,,,
1563,,,,,,,,
1564,,,,,,,,
1565,,,,,,,,
1566,,,,,,,,
1567,,,,,,,,
1568,,,,,,,,
1569,,,,,,,,
1570,,,,,,,,
1571,"Uhn Tiss Uhn Tiss Uhn Tiss, baby  Dog will hunt I'm the front end loader travoltin' over so try my slam on for size  Drive stick with that kung-fu grip let the banana split and watch it go right to your thighs  Cop a feel copperfield style abracadabra that bra do you think I can pull it off?  Wanna bang around? Just jot me down on your to-do list under ""put out like a fire"" 'cause  I got somethin' and it goes thumpin' like this  All you need is my Uhn Tiss Uhn Tiss Uhn Tiss  I got somethin' and it goes thumpin' like this  All you need is my Uhn Tiss Uhn Tiss Uhn Tiss  Uhn Tiss Uhn Tiss Uhn Tiss, baby  Edible strange how do I get in your pants when you're tick tockin' them  Serious Levis? So tight can't be classified that's why I'm here to fill that opening  Make a seasoned pass to mount that ass and bob hope that I might one night stand a chance  Let's go feng shui and fuck around my digs like a superball bring that sunny side up and  I got somethin' and it goes thumpin' like this  All you need is my Uhn Tiss Uhn Tiss Uhn Tiss  I got somethin' and it goes thumpin' like this  All you need is my Uhn Tiss Uhn Tiss Uhn Tiss  Uhn Tiss Uhn Tiss Uhn Tiss, baby  Uhn Tiss Uhn Tiss Uhn Tiss, baby Uhn Tiss Uhn Tiss Uhn Tiss Uhn Tiss Uhn Tiss Uhn Tiss, baby Uhn Tiss Uhn Tiss Uhn Tiss Uhn Tiss Uhn Tiss Uhn Tiss, baby Uhn Tiss Uhn Tiss Uhn Tiss  Uhn Tiss Uhn Tiss Uhn Tiss, baby Uhn Tiss Uhn Tiss Uhn Tiss  Uhn Tiss Uhn Tiss Uhn Tiss, baby Uhn Tiss Uhn Tiss Uhn Tiss  Uhn Tiss Uhn Tiss Uhn Tiss, baby Uhn Tiss Uhn Tiss Uhn Tiss Uhn Tiss Uhn Tiss Uhn Tiss, baby Uhn Tiss Uhn Tiss Uhn Tiss  Uhn Tiss Uhn Tiss Uhn Tiss, baby Uhn Tiss Uhn Tiss Uhn Tiss I got somethin' and it goes thumpin' like this  All you need is my Uhn Tiss Uhn Tiss Uhn Tiss  I got somethin' and it goes thumpin' like this  All you need is my Uhn Tiss Uhn Tiss Uhn Tiss  Uhn Tiss Uhn Tiss Uhn Tiss, baby Uhn Tiss Uhn Tiss Uhn Tiss, baby Uhn Tiss Uhn Tiss Uhn Tiss Uhn Tiss Uhn Tiss Uhn Tiss, baby Uhn Tiss Uhn Tiss Uhn Tiss Uhn Tiss Uhn Tiss Uhn Tiss, baby Uhn Tiss Uhn Tiss Uhn Tiss Uhn Tiss Uhn Tiss Uhn Tiss, baby Uhn Tiss Uhn Tiss Uhn Tiss Uhn Tiss Uhn Tiss Uhn Tiss, baby Uhn Tiss Uhn Tiss Uhn Tiss  Uhn Tiss Uhn Tiss Uhn Tiss, baby Uhn Tiss Uhn Tiss Uhn Tiss Uhn Tiss Uhn Tiss Uhn Tiss, baby Uhn Tiss Uhn Tiss Uhn Tiss Uhn Tiss Uhn Tiss Uhn Tiss, baby Uhn Tiss Uhn Tiss Uhn Tiss",,,,,,,
1572,,,,,,,,
1573,"Let's dance Put on your red shoes and dance the blues Let's dance To the song they're playin' on the radio Let's sway While color lights up your face Let's sway Sway through the crowd to an empty space If you say run I'll run with you And if you say hide We'll hide Because my love for you Would break my heart in two If you should fall into my arms And tremble like a flower Let's dance Let's dance For fear your grace should fall Let's dance For fear tonight is all Let's sway You could look into my eyes Let's sway Under the moonlight, this serious moonlight And if you say run I'll run with you And if you say hide We'll hide Because my love for you Would break my heart in two If you should fall into my arms And tremble like a flower Let's dance Put on your red shoes and dance the blues Let's sway Under the moonlight, this serious moonlight Let's dance Let's dance Let's dance, dance, dance",,,,,,,
1574,"There's a limit to your love Like a waterfall in slow motion Like a map with no ocean There's a limit to your love Your love, your love, your love There's a limit to you care So carelessly there, is it truth or dare There's a limit to your care There's a limit to your love Like a waterfall in slow motion Like a map with no ocean There's a limit to your love Your love, your love, your love There's a limit to you care So carelessly there, is it truth or dare There's a limit to your care",,,,,,,
1575,,,,,,,,
1576,"Didn't I give it all? Tried my best Gave you everything I had, everything and no less Didn't I do it right? Did I let you down? Maybe you got too used to having me 'round Still how can you walk away From all my tears It's gonna be an empty road without me right here But go on and take it, take it all with you Don't look back at this crumbling fool Just take it all with my love, take it all with my love Maybe I should leave, to help you see Nothing is better than this and this is everything we need So is it over? Is this really it, you're giving up so easily I thought you loved me more than this But go on, go on, take it, take it all with you Don't look back at this crumbling fool Just take it all with my love, take it all with my love I will change if I must Slow it down and bring it home, I will adjust Oh if only, if only you knew Everything I do, is for you But go on, go on and take it, take it all with you Don't look back at this crumbling fool Just take it, take it all with you Don't look back at this crumbling fool Just take it all, with my love Take it all with my love You take it all with my love",,,,,,,
1577,,,,,,,,
1578,,,,,,,,
1579,,,,,,,,
1580,,,,,,,,
1581,Brown eyes and I was tired We had walked and we had scrambled Through the moors and through the briars Through the endless blue meanders In the blue August moon (Ooh ooh ooh) In the cool August moon (Ooh ooh ooh) Over the nights and through the fires We went surging down the wires Through the towns and on the highways Through the storms in all their thundering In the blue August moon (Ooh ooh ooh) In the cool August moon (Ooh ooh ooh) Then we rested in a desert Where the bones were white as teeth sunk And we saw St. Elmo's fire Splitting ions in the ether Ooh ooh ooh Ooh ooh ooh In the blue August moon (Ooh ooh ooh) In the cool August moon (Ooh ooh ooh) In the blue August moon (Ooh ooh ooh) In the cool August moon (Ooh ooh ooh),,,,,,,
1582,"Oh, oh, oh Oh, oh, oh Where do we go from here? The words are coming out all weird Where are you now? When I need you Alone on an airplane Falling asleep against the windowpane My blood will thicken I need to wash myself again To hide all the dirt and pain 'Cause I'd be scared That there's nothing underneath And who are my real friends Have they all got the bends? Am I really sinking This slow My baby's got the bends Oh, no We don't have any real friends No, no, no Just lying in a bar with my drip feed on Talking to my girlfriend, waiting for something to happen And I wish it was the sixties, I wish I could be happy I wish, I wish, I wish that something would happen Where do we go from here? The planet is a gunboat in a sea of fear And where are you? They brought in the C.I.A The tanks and the whole marines to blow me away To blow me sky-high Baby's got the bends We don't have any real friends Just lying in a bar with my drip feed on Talking to my girlfriend, waiting for something to happen I wish it was the sixties, I wish I could be happy I wish, I wish, I wish that something would- I want to live, breathe I want to be part of the human race I want to live, breathe I want to be part of the human race, race, race? Where do we go from here? The words are coming out all weird, where are you now? When I need you",,,,,,,
1583,"He's a real nowhere man Sitting in his nowhere land Making all his nowhere plans for nobody Doesn't have a point of view Knows not where he's going to Isn't he a bit like you and me? Nowhere man please listen You don't know what you're missing Nowhere man, The world is at your command He's as blind as he can be Just sees what he wants to see Nowhere man, can you see me at all Nowhere man don't worry Take your time, don't hurry Leave it all till somebody else Lends you a hand Ah, la, la, la, la Doesn't have a point of view Knows not where he's going to Isn't he a bit like you and me? Nowhere man please listen You don't know what you're missing Nowhere man, The world is at your command Ah, la, la, la, la He's a real nowhere man Sitting in his nowhere land Making all his nowhere plans for nobody Making all his nowhere plans for nobody Making all his nowhere plans for nobody",,,,,,,
1584,,,,,,,,
1585,,,,,,,,
1586,,,,,,,,
1587,,,,,,,,
1588,"I'm holdin' on a rope Got me ten feet off the ground I'm hearing what you say But I just can't make a sound (Oh yea..) They tell me that you mean it Then you go and cut me down But wait You tell me that your sorry Didn't think I'd turn around  And say That it's too late to apologize It's too late Said it's too late to apologize It's too late I take another chance, take a fall, take a shot from you I need you like a heart needs a beat It's not from you (Yeaaaa) I loved you with a fire red and I was turnin' blue And to say Sorry like the angel Heaven let me think was you But I'm afraid It's too late to apologize It's too late Said it's too late to apologize It's too late It's too late to apologize It's too late Said it's too late to apologize It's too late Said it's too late to apologize It's too late Said it's too late to apologize It's too late I'm holdin' on the rope Got me ten feet off the ground",,,,,,,
1589,"I need another story Something to get off my chest My life gets kinda boring Need something that I can confess Til' all my sleeves are stained red From all the truth that I've said Come by it honestly I swear Thought you saw me wink, no I've been on the brink, so Tell me what you want to hear Something that will light those ears Sick of all the insincere I'm gonna give all my secrets away This time, don't need another perfect lie Don't care if critics ever jump in line I'm gonna give all my secrets away My God, amazing how we got this far It's like we're chasing all those stars Who's driving shiny big black cars And everyday I see the news All the problems that we could solve And when a situation rises Just write it into an album Send it straight to gold I don't really like my flow, no, so Tell me what you want to hear Something that are like those years Sick of all the insincere I'm gonna give all my secrets away This time, don't need another perfect lie Don't care if critics never jump in line I'm gonna give all my secrets away Oh, got no reason, got no shame Got no family I can't blame Just don't let me disappear I'mma tell you everything So tell me what you want to hear Something that'll light those ears Sick of all the insincere I'm gonna give all my secrets away This time, don't need another perfect lie Don't care if critics never jump in line I'm gonna give all my secrets away So tell me what you want to hear Something that delight those ears Sick of all the insincere I'm gonna give all my secrets away This time, don't need another perfect lie Don't care if critics ever jump in line I'm gonna give all my secrets away All my secrets away, all my secrets away",,,,,,,
1590,,,,,,,,
1591,"I need someone a person to talk to Someone who'd care to love  Could it be you, could it be you Situation gets rough then I start to panic It's not enough it's just a habit Hey kid, your sick, well, darling this is it You can all just kiss off into the air Behind my back I can see them stare They'll hurt me bad but I won't mind They'll hurt me bad they do it all the time Yeah, yeah, they do it all the time, yeah, yeah They do it all the time (do it all the time) They do it all the time (do it all the time) They do it all the time, do it all the time I hope you know that this will go down  On your permanent record Oh, yeah, well, don't get so distressed  Did I happen to mention that I'm impressed I take one, one, one 'cause you left me  And two, two, two for my family  And three, three, three for my heartache  And four, four, four for my headaches  And five, five, five for my lonely  And six, six, six for my sorrow  And seven, seven for no tomorrow  And eight eight I forget what eight was for  And nine nine nine for a lost God  And ten, ten, ten, ten for everything, everything, everything, everything You can all just kiss off into the air Behind my back I can see them stare They'll hurt me bad but I won't mind They'll hurt me bad they do it all the time Yeah, yeah, they do it all the time, yeah, yeah They do it all the time (do it all the time) They do it all the time (do it all the time) They do it all the time (do it all the time, do it all the time) Do it all the time",,,,,,,
1592,,,,,,,,
1593,,,,,,,,
1594,,,,,,,,
1595,,,,,,,,
1596,"Got all the black bicthes mad cuz my main bitch vallina She tryna to get her groove back like stella, grab the umbrella When it comes to your perception of my shit I'm hellen keller When it comes to the perfection of my shit I know you smell the RECTUM I'm like a chromosome I always ex 'em Like wolverine steps in attackin a deadly weapon I'm openin a church to sell coke and led zeppelin And fuck mary in her ass... ha ha... yo I'm fucking Goldilocks up in the forest In the three bear house eating their muthafuckin' porridge I tell her it's my house, give her a tour In my basement, and keep that bitch locked up in the storage Rape her and record it, then edit it with more shit Octopussy special effect, the wet bitches be banging And please never disrespect my set with cannon Hanging from my neck like it's a muthafuckin' circus You little niggas better check my French You getting money better check my French Ahh, what time is it, huh? Check my French If you cop my shit you better check my French, muthafucka Im makin moves check my French I speak English but check my French Your hoe be on my penis she check my French, bitch  I guess I left my dignity up in the cupboard Cause every girl im digging, when im digging in her pussy Im never using a rubber But fuck it I guess I gotta steach it out like it was flubber And leave it drippin green and red like it was double cheese buggers Chewin on cum like bubble gum from hubbard This bitch knew dick like Bubba knew shimp (Laughing)  Yo Im seventeen, already sniffin blow I tell my friends its asthma every time I start to itch my throat I got a new show for MTV, ""Pimp My Boat"" Because some bitch said my semen was dirty, thats silly ho The most that they can do is find me, Im hiding Somewhere where Chris Stokes cant find me Oh no Mister Stokes I dont like misters no Dont tell R. Kelly where my sister goes You little niggas better check my French You getting money better check my French Ahh, what time is it, huh? Check my French If you cop my shit you better check my French, muthafucka Im making moves check my French I speak English but check my French Your hoe be on my penis she check my French, bitch  Yo you little niggas better check my french I got allstars and you can check my bench  Left Brain super three, Creator Ace puttin the expressions in music and create the face Of the picture, punchline figured out ahhh I get you No you dont nigga so why dont you go figure You seem confused anyway, pressure enough? You the type to do the choke when the pressure is up The pressure is to pump and pressure is us Bitches havin eargasms and the pleasure is us Niggas wanna B.O.F. and write letters to us Competition's competition, yo you better than us? Digest what Im sayin? I dont think so We sick shit, throw it up down in the sink yo The odd niggas are beginning to spill these pink hoes We think sorta odd so we think so Crusin in my go kart at walmart sellin cupcakes Go ahead admit it faggot this shit is tighter then buttrape That evolves Ballpark franks and silver duct tape Pornos and hormones and boxes of DiGiorno You homos is loco your prolly drinking cuervo  With some vatos with the door closed watchin zorro you homos",,,,,,,
1597,"Dirty looks from your mother Never seen you in a dress that color, no It's a special occasion Not invited but I'm glad I made it Oh, let me apologize I'll make up, make up, make up, make up for all those times Your love, I don't wanna lose I'm beggin', beggin', beginn', beggin', I'm begging you Wait, can you turn around, can you turn around? Just wait, can we work this out, can we work this out? Just wait, can you come here please? 'Cause I want to be with you Wait, can you turn around, can you turn around? Just wait, can we work this out, can we work this out? Just wait, can you come here please? 'Cause I want to be with you Can we talk for a moment? Got these feelings that I'm tired of holding on Wasn't tryin' to get wasted I needed more than three or four to say this Oh, let me apologize (yea) I'll make up, make up, make up, make up for all those times (all those times) Your love, I don't wanna lose I'm beggin', beggin', beggin', beggin', I'm begging you Wait, can you turn around, can you turn around? Just wait, can we work this out, can we work this out? Just wait, can you come here please? 'Cause I want to be with you Wait, can you turn around, can you turn around? Just wait, can we work this out, can we work this out? Just wait, can you come here please? 'Cause I want to be with you You say I'm just another bad guy You say I've done a lot of things I can't undo Before you tell me for the last time I'm beggin', beggin', beggin', beggin' you Wait, can you turn around, can you turn around? Just wait, can we work this out, can we work this out? Just wait, can you come here please? 'Cause I want to be with you Wait, can you turn around, can you turn around? Just wait, can we work this out, can we work this out? Just wait, can you come here please? 'Cause I want to be with you",,,,,,,
1598,,,,,,,,
1599,,,,,,,,
1600,,,,,,,,
1601,,,,,,,,
1602,,,,,,,,
1603,,,,,,,,
1604,,,,,,,,
1605,,,,,,,,
1606,"I want to kill everybody in the world I want to eat your heart I want to kill everybody in the world I want to eat your heart I want to kill everybody in the world I want to kill I want to kill everybody in the world I want to eat, want to eat your I want to kill everybody in the world I want to kill I want to kill I want to kill I want to kill I want to kill I want to kill I want to kill I want to kill I want to kill",,,,,,,
1607,,,,,,,,
1608,,,,,,,,
1609,,,,,,,,
1610,"I am doll eyes, doll mouth, doll legs I am doll arms, big veins, dog bait Yeah, they really want you They really want you, they really do Yeah, they really want you They really want you, and I do too I want to be the girl with the most cake I love him so much it just turns to hate I fake it so real, I am beyond fake And someday, you will ache like I ache And someday, you will ache like I ache And someday, you will ache like I ache And someday, you will ache like I ache And someday, you will ache like I ache I am doll parts, bad skin, doll heart It stands for knife For the rest of my life Yeah, they really want you They really want you, they really do Yeah, they really want you They really want you, but I do too I want to be the girl with the most cake He only loves those things  Because he loves to see them break I fake it so real, I am beyond fake And someday, you will ache like I ache And someday, you will ache like I ache And someday, you will ache like I ache And someday, you will ache like I ache And someday, you will ache like I ache And someday, you will ache like I ache And someday, you will ache like I ache Someday, you will ache like I ache",,,,,,,
1611,,,,,,,,
1612,,,,,,,,
1613,"There's a place up ahead and I'm goin' Just as fast as my feet can fly Come away, come away if you're goin' Leave the sinkin' ship behind Come on the risin' wind, We're goin' up around the bend Oh Bring a song and a smile for the banjo Better get while the gettin's good Hitch a ride to the end of the highway Where the neon's turn to wood Come on the risin' wind, We're goin' up around the bend Oh You can ponder perpetual motion, Fix your mind on a crystal day, Always time for a good conversation, There's an ear for what you say Come on the risin' wind, We're goin' up around the bend. Yeah Oh Catch a ride to the end of the highway And we'll meet by the big red tree, There's a place up ahead and I'm goin' Come along, come along with me Come on the risin' wind, We're goin' up around the bend Yeah Do do do do Do do do do Do do do do Do do do do yeah Do do do do Do do do do",,,,,,,
1614,If I believed If I believed what I've been told Every day To say no grace every night I couldn't stay  Here alone If I leave this place Everything fades What will my ghost embrace Will my soul still fill a space I walk the halls Endless stairs Here's where the floor starts to fade With weakened knees I sway two ways and fall to the floor  Where I've prayed It's not the same I don't fall one way One day my light laid wait  One night a nightfall sang A fictional last few days An epilogue ends and hangs,,,,,,,
1615,,,,,,,,
1616,,,,,,,,
1617,,,,,,,,
1618,"See there run away you said To go you were it, you were it To lay underneath the red sky there To lay under her, I want her there See you there, under her, and under To go you were there and I'm slow To lay over her and I'm slow, oh To lay under her, I've grown away, oh",,,,,,,
1619,,,,,,,,
1620,,,,,,,,
1621,Dial up my number now Weaving it through the wire Switch me on Turn me up Don't want it Baudelaire Just glitter lust Switch me on Turn me up I want to touch you You're just made for love I need la la la la la la I need ooh la la la la I need la la la la la la I need ooh la la la la Coils up and round me Teasing your poetry Switch me on Turn me up Oh child of Venus You're just made for love I need la la la la la la I need ooh la la la la I need la la la la la la I need ooh la la la la You know I walk for days I want to waste some time You want to be so mean You know I love to watch I want to love some more It'll never be the same A broken heel like a heart I'll never walk again Yeah! I need la la la la la la I need ooh la la la la I need la la la la la la I need ooh la la la la,,,,,,,
1622,,,,,,,,
1623,"Did I give in so much? Was it never enough? The walls are rising up Is it too late to lose? And I wish you well on the storm giving you hell. So take cover 'cause I'm not the only one. I'm not the only one I'm not the only one in here with everyone I'm not the only one. You're never close enough You're too far behind Slipped to the floor No heart to find And I wish you well on the storm giving you hell So take cover cause I'm not the only one. I'm not the only one. I wish you well You won't drag me to hell And you'll never, you'll be the only one. You'll be the only one. Come back to me Your heart is not breathing Come, come back to me Your heart is not breathing Please don't drag me down, ever (Dragging me down with you) And I wish you well on the storm giving you hell So take cover, cause I'm not the only one I'm not the only one I wish you well, you won't drag me to hell And you'll never, you'll be the only one You'll be the only one",,,,,,,
1624,,,,,,,,
1625,"Woop-woop! That's the sound of da police! That's the sound of the beast! Stand clear!  Don man a-talk You can't stand where I stand, you can't walk where I walk Watch out!  We run New York Police man come, we bust him out the park I know this for a fact, you don't like how I act You claim I'm sellin' crack But you be doin' that I'd rather say ""see ya"" Cause I would never be ya Be a officer?  You wicked overseer! Ya hotshot, want to get props and be a savior First show a little respect, change your behavior Change your attitude, change your plan There could never really be justice on stolen land Are you really for peace and equality? Or when my car is hooked up, you know you want to follow me Your laws are minimal Cause you won't even think about lookin' at the real criminal This has got to cease Cause we be getting hyped to the sound of da police! Woop-woop! That's the sound of da police! That's the sound of the beast! Now here's a likkle truth Open up your eye While you're checking out the boom-bap, check the exercise Take the word ""overseer, "" like a sample Repeat it very quickly in a crew for example Overseer Overseer Overseer Overseer Officer, Officer, Officer, Officer! Yeah, officer from overseer You need a little clarity? Check the similarity! The overseer rode around the plantation The officer is off patrolling all the nation The overseer could stop you what you're doing The officer will pull you over just when he's pursuing The overseer had the right to get ill And if you fought back, the overseer had the right to kill The officer has the right to arrest And if you fight back they put a hole in your chest! (Woop!) They both ride horses After 400 years, I've got no choices! The police them have a little gun So when I'm on the streets, I walk around with a bigger one (Woop-woop!) I hear it all day Just so they can run the light and be upon their way Woop-woop! That's the sound of da police! That's the sound of the beast! Check out the message in a rough stylee The real criminals are the see-O-P You check for undercover and the one PD But just a mere Black man, them want check me Them check out me car for it shine like the sun But them jealous or them vexed cause them can't afford one Black people still slaves up til today But the Black police officer nah see it that way Him want a salary Him want it So he put on a badge and kill people for it My grandfather had to deal with the cops My great-grandfather dealt with the cops My great grandfather had to deal with the cops And then my great, great, great, great, when it's gonna stop?! Woop-woop! That's the sound of da police! That's the sound of the beast!",,,,,,,
1626,,,,,,,,
1627,,,,,,,,
1628,,,,,,,,
1629,,,,,,,,
1630,"You gotta be crazy, you gotta have a real need You gotta sleep on your toes, and when you're on the street You gotta be able to pick out the easy meat with your eyes closed And then moving in silently, down wind and out of sight You gotta strike when the moment is right without thinking And after a while, you can work on points for style Like the club tie, and the firm handshake A certain look in the eye and an easy smile You have to be trusted by the people that you lie to So that when they turn their backs on you, You'll get the chance to put the knife in You gotta keep one eye looking over your shoulder You know it's going to get harder, and harder, and harder as you get older And in the end you'll pack up and fly down south Hide your head in the sand, Just another sad old man All alone and dying of cancer And when you loose control, you'll reap the harvest you have sown And as the fear grows, the bad blood slows and turns to stone And it's too late to lose the weight you used to need to throw around So have a good drown, as you go down, all alone Dragged down by the stone (stone, stone, stone, stone, stone) I gotta admit that I'm a little bit confused Sometimes it seems to me as if I'm just being used Gotta stay awake, gotta try and shake off this creeping malaise If I don't stand my own ground, how can I find my way out of this maze? Deaf, dumb, and blind, you just keep on pretending That everyone's expendable and no-one has a real friend And it seems to you the thing to do would be to isolate the winner And everything's done under the sun And you believe at heart, everyone's a killer Who was born in a house full of pain Who was trained not to spit in the fan Who was told what to do by the man Who was broken by trained personnel Who was fitted with collar and chain Who was given a pat on the back Who was breaking away from the pack Who was only a stranger at home Who was ground down in the end Who was found dead on the phone Who was dragged down by the stone",,,,,,,
1631,,,,,,,,
1632,,,,,,,,
1633,,,,,,,,
1634,,,,,,,,
